index,title,price,rating,stock,category,book_url
12,First Steps for New Christians (Print Edition),Â£29.00,One,In stock,Default,https://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html
13,Finders Keepers (Bill Hodges Trilogy #2),Â£53.53,Five,In stock,Fiction,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
14,"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,Four,In stock,Sequential Art,https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
15,Eureka Trivia 6.0,Â£54.59,Four,In stock,Default,https://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html
16,Drive: The Surprising Truth About What Motivates Us,Â£34.95,Four,In stock,Default,https://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html
17,Done Rubbed Out (Reightman & Bailey #1),Â£37.72,Five,In stock,Default,https://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html
18,Doing It Over (Most Likely To #1),Â£35.61,Three,In stock,Romance,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
19,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Â£42.16,Three,In stock,Food and Drink,https://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html
20,Dark Notes,Â£19.19,Five,In stock,Erotica,https://books.toscrape.com/catalogue/dark-notes_800/index.html
21,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Â£19.43,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html
22,Close to You,Â£49.46,Four,In stock,Christian Fiction,https://books.toscrape.com/catalogue/close-to-you_798/index.html
23,Chasing Heaven: What Dying Taught Me About Living,Â£37.80,Two,In stock,Spirituality,https://books.toscrape.com/catalogue/chasing-heaven-what-dying-taught-me-about-living_797/index.html
24,Big Magic: Creative Living Beyond Fear,Â£30.80,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html
25,Becoming Wise: An Inquiry into the Mystery and Art of Living,Â£27.43,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html
26,Beauty Restored (Riley Family Legacy Novellas #3),Â£11.11,Two,In stock,Default,https://books.toscrape.com/catalogue/beauty-restored-riley-family-legacy-novellas-3_794/index.html
27,Batman: The Long Halloween (Batman),Â£36.50,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
28,Batman: The Dark Knight Returns (Batman),Â£15.38,Five,In stock,Sequential Art,https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
29,Ayumi's Violin,Â£15.48,Two,In stock,Default,https://books.toscrape.com/catalogue/ayumis-violin_791/index.html
30,Anonymous,Â£46.82,Four,In stock,Default,https://books.toscrape.com/catalogue/anonymous_790/index.html
31,Amy Meets the Saints and Sages,Â£18.46,Three,In stock,Default,https://books.toscrape.com/catalogue/amy-meets-the-saints-and-sages_789/index.html
32,Amid the Chaos,Â£36.58,One,In stock,Cultural,https://books.toscrape.com/catalogue/amid-the-chaos_788/index.html
33,Amatus,Â£50.54,Five,In stock,Default,https://books.toscrape.com/catalogue/amatus_787/index.html
34,Agnostic: A Spirited Manifesto,Â£12.51,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/agnostic-a-spirited-manifesto_786/index.html
35,Zealot: The Life and Times of Jesus of Nazareth,Â£24.70,Three,In stock,History,https://books.toscrape.com/catalogue/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html
36,You (You #1),Â£43.61,Five,In stock,Thriller,https://books.toscrape.com/catalogue/you-you-1_784/index.html
37,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â£37.34,Four,In stock,Sequential Art,https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
38,Wild Swans,Â£14.36,Two,In stock,Young Adult,https://books.toscrape.com/catalogue/wild-swans_782/index.html
39,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Â£52.65,Four,In stock,Politics,https://books.toscrape.com/catalogue/why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html
40,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Â£38.20,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html
41,What's It Like in Space?: Stories from Astronauts Who've Been There,Â£19.60,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html
42,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Â£53.90,One,In stock,Sequential Art,https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
43,Walt Disney's Alice in Wonderland,Â£12.96,Five,In stock,Childrens,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
44,V for Vendetta (V for Vendetta Complete),Â£37.10,Four,In stock,Default,https://books.toscrape.com/catalogue/v-for-vendetta-v-for-vendetta-complete_776/index.html
45,Until Friday Night (The Field Party #1),Â£46.31,Two,In stock,Young Adult,https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html
46,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Â£45.95,Two,In stock,Default,https://books.toscrape.com/catalogue/unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption_774/index.html
47,Twenty Yawns,Â£22.08,Two,In stock,Childrens,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html
48,Through the Woods,Â£25.38,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/through-the-woods_772/index.html
49,This Is Where It Ends,Â£27.12,Two,In stock,Young Adult,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html
50,The Year of Magical Thinking,Â£43.04,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-year-of-magical-thinking_770/index.html
51,The Wright Brothers,Â£56.80,Four,In stock,Default,https://books.toscrape.com/catalogue/the-wright-brothers_769/index.html
52,The White Queen (The Cousins' War #1),Â£25.91,Five,In stock,Add a comment,https://books.toscrape.com/catalogue/the-white-queen-the-cousins-war-1_768/index.html
53,The Wedding Pact (The O'Malleys #2),Â£32.61,Three,In stock,Romance,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
54,The Time Keeper,Â£27.88,Five,In stock,Fiction,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
55,The Testament of Mary,Â£52.67,Four,In stock,Fiction,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
56,The Star-Touched Queen,Â£46.02,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/the-star-touched-queen_764/index.html
57,The Songs of the Gods,Â£44.48,Five,In stock,Default,https://books.toscrape.com/catalogue/the-songs-of-the-gods_763/index.html
58,The Song of Achilles,Â£37.40,Five,In stock,Add a comment,https://books.toscrape.com/catalogue/the-song-of-achilles_762/index.html
59,The Rosie Project (Don Tillman #1),Â£54.04,One,In stock,Default,https://books.toscrape.com/catalogue/the-rosie-project-don-tillman-1_761/index.html
60,The Power of Habit: Why We Do What We Do in Life and Business,Â£16.88,Three,In stock,Default,https://books.toscrape.com/catalogue/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html
61,The Marriage of Opposites,Â£28.08,Four,In stock,Historical Fiction,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
62,The Lucifer Effect: Understanding How Good People Turn Evil,Â£10.40,One,In stock,Psychology,https://books.toscrape.com/catalogue/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html
63,The Long Haul (Diary of a Wimpy Kid #9),Â£44.07,One,In stock,Humor,https://books.toscrape.com/catalogue/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html
64,The Loney,Â£23.40,One,In stock,Horror,https://books.toscrape.com/catalogue/the-loney_756/index.html
65,The Literature Book (Big Ideas Simply Explained),Â£17.43,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-literature-book-big-ideas-simply-explained_755/index.html
66,The Last Mile (Amos Decker #2),Â£54.21,Two,In stock,Mystery,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
67,The Immortal Life of Henrietta Lacks,Â£40.67,Two,In stock,Add a comment,https://books.toscrape.com/catalogue/the-immortal-life-of-henrietta-lacks_753/index.html
68,The Hidden Oracle (The Trials of Apollo #1),Â£52.26,Two,In stock,Fantasy,https://books.toscrape.com/catalogue/the-hidden-oracle-the-trials-of-apollo-1_752/index.html
69,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Â£28.77,Three,In stock,Food and Drink,https://books.toscrape.com/catalogue/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html
70,The Guilty (Will Robie #4),Â£13.82,Two,In stock,Thriller,https://books.toscrape.com/catalogue/the-guilty-will-robie-4_750/index.html
71,The First Hostage (J.B. Collins #2),Â£25.85,Three,In stock,Fiction,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
72,The Dovekeepers,Â£48.78,One,In stock,Add a comment,https://books.toscrape.com/catalogue/the-dovekeepers_748/index.html
73,The Darkest Lie,Â£35.35,Five,In stock,Young Adult,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html
74,The Bane Chronicles (The Bane Chronicles #1-11),Â£44.73,Four,In stock,Fantasy,https://books.toscrape.com/catalogue/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html
75,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Â£15.77,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html
76,The 14th Colony (Cotton Malone #11),Â£39.24,One,In stock,Thriller,https://books.toscrape.com/catalogue/the-14th-colony-cotton-malone-11_744/index.html
77,That Darkness (Gardiner and Renner #1),Â£13.92,One,In stock,Mystery,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
78,Tastes Like Fear (DI Marnie Rome #3),Â£10.69,One,In stock,Mystery,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
79,Take Me with You,Â£45.21,Three,In stock,Fiction,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
80,Swell: A Year of Waves,Â£45.58,One,In stock,Nonfiction,https://books.toscrape.com/catalogue/swell-a-year-of-waves_740/index.html
81,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â£11.89,Five,In stock,Sequential Art,https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
82,Still Life with Bread Crumbs,Â£26.41,Three,In stock,Fiction,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
83,Steve Jobs,Â£39.50,Five,In stock,Default,https://books.toscrape.com/catalogue/steve-jobs_737/index.html
84,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Â£44.74,Four,In stock,Science,https://books.toscrape.com/catalogue/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html
85,Someone Like You (The Harrisons #2),Â£52.79,Five,In stock,Contemporary,https://books.toscrape.com/catalogue/someone-like-you-the-harrisons-2_735/index.html
86,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â£35.43,Four,In stock,Sequential Art,https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
87,Shtum,Â£55.84,Four,In stock,Fiction,https://books.toscrape.com/catalogue/shtum_733/index.html
88,See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,Three,In stock,Travel,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
89,salt.,Â£46.78,Four,In stock,Poetry,https://books.toscrape.com/catalogue/salt_731/index.html
90,Robin War,Â£47.82,Three,In stock,Sequential Art,https://books.toscrape.com/catalogue/robin-war_730/index.html
91,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Â£25.48,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
92,Rain Fish,Â£23.57,Three,In stock,Childrens,https://books.toscrape.com/catalogue/rain-fish_728/index.html
93,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Â£50.89,Five,In stock,Poetry,https://books.toscrape.com/catalogue/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html
94,Pet Sematary,Â£10.56,Three,In stock,Horror,https://books.toscrape.com/catalogue/pet-sematary_726/index.html
95,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Â£52.15,Three,In stock,Self Help,https://books.toscrape.com/catalogue/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html
96,Once Was a Time,Â£18.28,Two,In stock,Childrens,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html
97,Old School (Diary of a Wimpy Kid #10),Â£11.83,Five,In stock,Humor,https://books.toscrape.com/catalogue/old-school-diary-of-a-wimpy-kid-10_723/index.html
98,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Â£21.95,Two,In stock,Nonfiction,https://books.toscrape.com/catalogue/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html
99,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Â£38.39,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
100,My Name Is Lucy Barton,Â£41.56,One,In stock,Fiction,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
101,My Mrs. Brown,Â£24.48,Three,In stock,Fiction,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
102,My Kind of Crazy,Â£40.36,One,In stock,Young Adult,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html
103,Mr. Mercedes (Bill Hodges Trilogy #1),Â£28.90,One,In stock,Fiction,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
104,More Than Music (Chasing the Dream #1),Â£37.61,Two,In stock,Add a comment,https://books.toscrape.com/catalogue/more-than-music-chasing-the-dream-1_716/index.html
105,Made to Stick: Why Some Ideas Survive and Others Die,Â£38.85,Five,In stock,Business,https://books.toscrape.com/catalogue/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html
106,Luis Paints the World,Â£53.95,Three,In stock,Childrens,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
107,Luckiest Girl Alive,Â£49.83,Three,In stock,Default,https://books.toscrape.com/catalogue/luckiest-girl-alive_713/index.html
108,Lowriders to the Center of the Earth (Lowriders in Space #2),Â£51.51,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
109,Love Is a Mix Tape (Music #1),Â£18.03,One,In stock,Music,https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html
110,Looking for Lovely: Collecting the Moments that Matter,Â£29.14,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/looking-for-lovely-collecting-the-moments-that-matter_710/index.html
111,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Â£46.91,Four,In stock,Default,https://books.toscrape.com/catalogue/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html
112,Let It Out: A Journey Through Journaling,Â£26.79,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/let-it-out-a-journey-through-journaling_708/index.html
113,Lady Midnight (The Dark Artifices #1),Â£16.28,Five,In stock,Default,https://books.toscrape.com/catalogue/lady-midnight-the-dark-artifices-1_707/index.html
114,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Â£19.55,One,In stock,Food and Drink,https://books.toscrape.com/catalogue/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html
115,Island of Dragons (Unwanteds #7),Â£29.65,One,In stock,Fantasy,https://books.toscrape.com/catalogue/island-of-dragons-unwanteds-7_705/index.html
116,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,Â£25.98,Four,In stock,Humor,https://books.toscrape.com/catalogue/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html
117,I Am Pilgrim (Pilgrim #1),Â£10.60,Four,In stock,Fiction,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
118,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Â£14.75,Five,In stock,Humor,https://books.toscrape.com/catalogue/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
119,"Hush, Hush (Hush, Hush #1)",Â£47.02,Three,In stock,Default,https://books.toscrape.com/catalogue/hush-hush-hush-hush-1_701/index.html
120,Hold Your Breath (Search and Rescue #1),Â£28.82,One,In stock,Romance,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
121,Hamilton: The Revolution,Â£58.79,Three,In stock,Nonfiction,https://books.toscrape.com/catalogue/hamilton-the-revolution_699/index.html
122,Greek Mythic History,Â£10.23,Five,In stock,Default,https://books.toscrape.com/catalogue/greek-mythic-history_698/index.html
123,God: The Most Unpleasant Character in All Fiction,Â£30.03,Five,In stock,Religion,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html
124,Glory over Everything: Beyond The Kitchen House,Â£45.84,Three,In stock,Historical Fiction,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
125,Feathers: Displays of Brilliant Plumage,Â£49.05,Three,In stock,Art,https://books.toscrape.com/catalogue/feathers-displays-of-brilliant-plumage_695/index.html
126,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Â£15.06,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
127,Every Last Word,Â£46.47,Three,In stock,Default,https://books.toscrape.com/catalogue/every-last-word_693/index.html
128,Eligible (The Austen Project #4),Â£27.09,Three,In stock,Fiction,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
129,El Deafo,Â£57.62,Five,In stock,Sequential Art,https://books.toscrape.com/catalogue/el-deafo_691/index.html
130,Eight Hundred Grapes,Â£14.39,Four,In stock,Fiction,https://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
131,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Â£51.75,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html
132,"Eat Fat, Get Thin",Â£54.07,Two,In stock,Health,https://books.toscrape.com/catalogue/eat-fat-get-thin_688/index.html
133,Don't Get Caught,Â£55.35,One,In stock,Young Adult,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html
134,Doctor Sleep (The Shining #2),Â£40.12,Two,In stock,Horror,https://books.toscrape.com/catalogue/doctor-sleep-the-shining-2_686/index.html
135,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),Â£37.51,Five,In stock,Fantasy,https://books.toscrape.com/catalogue/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html
136,Dear Mr. Knightley,Â£11.21,Five,In stock,Fiction,https://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
137,Daily Fantasy Sports,Â£36.58,One,In stock,Default,https://books.toscrape.com/catalogue/daily-fantasy-sports_683/index.html
138,Crazy Love: Overwhelmed by a Relentless God,Â£47.72,Two,In stock,Christian,https://books.toscrape.com/catalogue/crazy-love-overwhelmed-by-a-relentless-god_682/index.html
139,Cometh the Hour (The Clifton Chronicles #6),Â£25.01,Three,In stock,Fiction,https://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
140,Code Name Verity (Code Name Verity #1),Â£22.13,Four,In stock,Add a comment,https://books.toscrape.com/catalogue/code-name-verity-code-name-verity-1_680/index.html
141,Clockwork Angel (The Infernal Devices #1),Â£44.14,One,In stock,Default,https://books.toscrape.com/catalogue/clockwork-angel-the-infernal-devices-1_679/index.html
142,City of Glass (The Mortal Instruments #3),Â£56.02,Four,In stock,Fantasy,https://books.toscrape.com/catalogue/city-of-glass-the-mortal-instruments-3_678/index.html
143,City of Fallen Angels (The Mortal Instruments #4),Â£11.23,Four,In stock,Default,https://books.toscrape.com/catalogue/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
144,City of Bones (The Mortal Instruments #1),Â£43.28,One,In stock,Default,https://books.toscrape.com/catalogue/city-of-bones-the-mortal-instruments-1_676/index.html
145,City of Ashes (The Mortal Instruments #2),Â£47.27,One,In stock,Default,https://books.toscrape.com/catalogue/city-of-ashes-the-mortal-instruments-2_675/index.html
146,Cell,Â£20.29,Four,In stock,Add a comment,https://books.toscrape.com/catalogue/cell_674/index.html
147,Catching Jordan (Hundred Oaks),Â£50.83,Three,In stock,Young Adult,https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html
148,"Carry On, Warrior: Thoughts on Life Unarmed",Â£31.85,Three,In stock,Default,https://books.toscrape.com/catalogue/carry-on-warrior-thoughts-on-life-unarmed_672/index.html
149,Carrie,Â£46.23,Two,In stock,Default,https://books.toscrape.com/catalogue/carrie_671/index.html
150,Buying In: The Secret Dialogue Between What We Buy and Who We Are,Â£37.80,Four,In stock,Nonfiction,https://books.toscrape.com/catalogue/buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670/index.html
151,Brain on Fire: My Month of Madness,Â£49.32,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/brain-on-fire-my-month-of-madness_669/index.html
152,Batman: Europa,Â£32.01,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/batman-europa_668/index.html
153,Barefoot Contessa Back to Basics,Â£28.01,One,In stock,Food and Drink,https://books.toscrape.com/catalogue/barefoot-contessa-back-to-basics_667/index.html
154,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Â£50.62,Five,In stock,Food and Drink,https://books.toscrape.com/catalogue/barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666/index.html
155,Balloon Animals,Â£17.03,Three,In stock,Fiction,https://books.toscrape.com/catalogue/balloon-animals_665/index.html
156,Art Ops Vol. 1,Â£48.80,Three,In stock,Sequential Art,https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
157,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),Â£58.14,Four,In stock,Young Adult,https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html
158,Angels Walking (Angels Walking #1),Â£34.20,Two,In stock,Add a comment,https://books.toscrape.com/catalogue/angels-walking-angels-walking-1_662/index.html
159,Angels & Demons (Robert Langdon #1),Â£51.48,Three,In stock,Default,https://books.toscrape.com/catalogue/angels-demons-robert-langdon-1_661/index.html
160,All the Light We Cannot See,Â£29.87,Five,In stock,Historical,https://books.toscrape.com/catalogue/all-the-light-we-cannot-see_660/index.html
161,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Â£10.90,Two,In stock,Sequential Art,https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
162,Abstract City,Â£56.37,Five,In stock,Nonfiction,https://books.toscrape.com/catalogue/abstract-city_658/index.html
163,A Time of Torment (Charlie Parker #14),Â£48.35,Five,In stock,Mystery,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
164,A Study in Scarlet (Sherlock Holmes #1),Â£16.73,Two,In stock,Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
165,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",Â£56.48,Two,In stock,Add a comment,https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html
166,A People's History of the United States,Â£40.79,Two,In stock,Add a comment,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html
167,A Man Called Ove,Â£39.72,One,In stock,Fiction,https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
168,A Distant Mirror: The Calamitous 14th Century,Â£14.58,Three,In stock,History,https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html
169,A Brush of Wings (Angels Walking #3),Â£55.51,One,In stock,Add a comment,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html
170,1491: New Revelations of the Americas Before Columbus,Â£21.80,Three,In stock,History,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
